mail;label;;
Peux-tu confirmer ta disponibilité pour demain ?;Answer;;
As-tu reçu le document que je t’ai envoyé ?;Answer;;
Pourrais-tu m’envoyer les chiffres du mois dernier ?;Answer;;
Peux-tu me dire si le rapport est correct ?;Answer;;
Es-tu disponible pour un appel cette semaine ?;Answer;;
Peux-tu vérifier le fichier joint avant envoi ?;Answer;;
Pourrais-tu m’indiquer l’heure exacte de la réunion ?;Answer;;
As-tu besoin d’aide pour remplir le formulaire ?;Answer;;
Peux-tu me confirmer le format que tu préfères ?;Answer;;
Avons-nous cours demain ?;Answer;;
As-tu bien reçu ta note en MA-CPL-01 ?;Answer;;
Bonjour, vous avez été absent sans justification. Pourrai-je avoir une explication ?;Answer;;
Avez-vous bien reçu les documents de la semaine dernière ?;Answer;;
Bonjour, Puis?je avoir mes notes de l'année 2025 ?;Answer;;
Quel test avons-nous demain ?;Answer;;
Avez-vous complété le document pour la journée sportive ?;Answer;;
Serais-tu disponible pour parler du projet ?;Answer;;
Es-tu disponible jeudi pour la journée de passation ?;Answer;;
Avez-vous fait vos présentations pour le voyage d'étude ?;Answer;;
Peux-tu me confirmer ta présence à la réunion ?;Answer;;
As-tu fini le document pour demain ?;Answer;;
Merci de m’envoyer ton retour sur ce point.;Answer;;
Peux-tu valider le budget avant vendredi;Answer;;
Peux-tu me rappeler cet après-midi ?;Answer;;
Es-tu disponible pour un appel ce soir ?;Answer;;
Merci de répondre au questionnaire avant lundi;Answer;;
Peux-tu m’envoyer le fichier manquant ?;Answer;;
Confirme-moi si tu participes à l’événement;Answer;;
Peux-tu planifier la réunion avec l’équipe ?;Answer;;
Peux-tu m’envoyer le document aujourd’hui ?;Answer;;
Merci de confirmer la réservation.;Answer;;
Peux-tu appeler le client ce matin ?;Answer;;
Merci de me dire si tu es disponible.;Answer;;
Peux-tu corriger le fichier joint ?;Answer;;
Merci de valider cette demande;Answer;;
Peux-tu me rappeler plus tard ?;Answer;;
Merci de répondre rapidement?;Answer;;
Peux-tu préparer la présentation ?;Answer;;
Merci de me confirmer l’horaire.;Answer;;
Peux-tu me confirmer ta présence à la réunion ?;Answer;;
Pourrais-tu vérifier le document joint ?;Answer;;
As-tu reçu mon dernier message ?;Answer;;
Peux-tu me donner ton avis sur cette proposition ?;Answer;;
Pourrais-tu corriger cette erreur dans le code ?;Answer;;
Peut-on fixer une date pour discuter du budget ?;Answer;;
Aurais-tu du temps libre cette semaine pour un appel ?;Answer;;
Peux-tu approuver cette demande de congé ?;Answer;;
Pourrais-tu me transmettre le fichier de configuration ?;Answer;;
As-tu besoin d'aide pour terminer ce projet ?;Answer;;
fermeture de l'école;NoAnswer;;
rappel sur le devoir;NoAnswer;;
Attention risque de pluie;NoAnswer;;
Nouveau produit de chez zalando;NoAnswer;;
 reduction sur le produit alimentaire;NoAnswer;;
Fin du délai;NoAnswer;;
Nouveau arrivant dans l'école;NoAnswer;;
Nouveau politique d'entreprise;NoAnswer;;
animal sauvage dans la région attention;NoAnswer;;
attaque de train à ste-croix;NoAnswer;;
Le serveur a été redémarré avec succès;NoAnswer;;
La nouvelle version est disponible au téléchargement;NoAnswer;;
Les statistiques mensuelles sont prêtes;NoAnswer;;
Tous les fichiers ont été sauvegardés avec succès;NoAnswer;;
La retransmission de la conférence est en ligne;NoAnswer;;
Les résultats de l'analyse sont maintenant disponibles;NoAnswer;;
Le projet est terminé et prêt à être déployé;NoAnswer;;
La documentation a été mise à jour hier;NoAnswer;;
Le rapport est disponible sur le drive;NoAnswer;;
J’ai besoin de ton approbation pour publier le document.;NoAnswer;;
Les portes ouvertes auront lieu le 26 mars.;NoAnswer;;
La salle de sport sera fermée du 6 au 17 février.;NoAnswer;;
Le cours de demain matin est annulé.;NoAnswer;;
Bonjour, je serai en retard ce matin;NoAnswer;;
Je vous ai rendu le rapport de stage;NoAnswer;;
Voici les informations concernant les SwissSkills;NoAnswer;;
Voici votre cahier des charges pour le TPI;NoAnswer;;
Votre abonnement SBB CFF va arriver à échéance;NoAnswer;;
Merci pour votre réponse.;NoAnswer;;
Merci pour votre achat sur Steam;NoAnswer;;
